,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20061201,,,,,,,,1013.2106495220025,1008.4244643857464,,,1012.4409603446643,,,,1009.8448619022887,1003.6400829262743,,,993.1570250670081,,,,,,,,,1013.312432547907,991.6790432576231
20061204,,,,,,,,1006.3946116525391,1009.2255254659921,,,1016.9344031585737,,,,998.1808152490337,979.1884801738104,,,963.6644872953192,,,,,,,,,1003.0912389151247,971.8390919842163
20061205,,,,,,,,1000.3212177089187,1010.4770024660697,,,1013.4485350980373,,,,987.2086530301058,961.0905550052092,,,959.0486159366067,,,,,,,,,992.2608833700235,998.8274180792823
20061206,,,,,,,,1005.4206059843337,1017.3774358781153,,,1016.7419900367262,,,,990.6030131917531,963.0757560372398,,,960.5414535900218,,,,,,,,,997.6516107689449,1009.4262686553905
20061207,,,,,,,,986.9532485474841,1005.2799643792721,,,1006.7002566039938,,,,987.3402731845782,960.9299330597419,,,947.5233188308805,,,,,,,,,988.0426977522189,991.529754700199
20061208,,,,,,,,981.6437736175284,1003.8506369862421,,,1011.8501422919635,,,,992.6963212963304,965.1977788487744,,,948.980884875168,,,,,,,,,984.0144289971586,1025.2484704557392
20061211,,,,,,,,980.5303465901077,1002.2851224978579,,,1013.5765791888291,,,,1005.2619433489541,966.0588017091695,,,957.6078830987785,,,,,,,,,991.5252472442697,1027.0492627109645
20061212,,,,,,,,988.2884766094471,1009.9812894890983,,,1014.8088657733381,,,,1021.8947900630944,969.993456844903,,,961.1025902298585,,,,,,,,,1014.3422023823399,1037.3159395380785
20061213,,,,,,,,981.2260633297371,1010.2687877192673,,,1025.3471107250496,,,,1018.4618213573235,963.0878039688852,,,952.7091036990179,,,,,,,,,1007.2986231552891,1034.4938360825874
20061214,,,,,,,,970.7717212854647,1008.1065353136784,,,1024.1537143210487,,,,1012.8995772256679,966.8776607046365,,,956.1387878709211,,,,,,,,,1006.2005055713079,1029.0685128924194
20061215,,,,,,,,974.1158374336036,1015.5009906710737,,,1032.635873179707,,,,1014.9455462628868,963.5118034781132,,,954.4873603025685,,,,,,,,,998.6976912058531,1024.0420738751284
20061218,,1077.8042959427207,,,,,,973.8778997371338,1011.6313276048567,,,1024.9937790239392,,,,1009.9945530757703,952.5258816577499,,,951.6148233725334,,,,,,,,,987.8631737329586,1031.6186068734721
20061219,,1068.9737470167063,,,,,,972.0114292002786,1014.7153899078013,,,1026.8917378704575,,,,1009.1746287788702,946.8781466387356,,,957.9337766231754,,,,,,,,,987.0904553725375,1030.615482528091
20061220,,1070.4057279236276,,,,,,967.4541381268398,1012.6597420333608,,,1030.3833340474991,,,,1018.6033847081029,950.2810429502812,,,955.4140716892214,,,,,,,,,991.898498117397,1052.129641772259
20061221,,1067.7804295942722,,,,,,957.0039994322481,1008.4594285732948,,,1027.8915714936888,,,,1031.5190857795455,957.8599774084228,,,953.6641879972094,,,,,,,,,997.4151825857208,1052.5748783883027
20061222,,1065.3937947494035,,,,,,919.6279319264377,1016.7250656390195,,,1022.7479861818123,,,,1040.8389769298653,960.370392950288,,,951.9770179862608,,,,,,,,,999.7016075181308,1090.3313566334202
20061225,,1090.6921241050118,,,,,,928.8292356465073,1016.3873684734748,,,1020.7640228216004,,,,1037.5506624108764,970.8508767770885,,,944.9580380674458,,,,,,,,,999.9193161819795,1099.1804030724638
20061226,,1093.7947494033413,,,,,,921.7435361373313,1014.7778925386546,,,1023.9726626723484,,,,1045.1780136865345,980.1371822024932,,,947.1178444666075,,,,,,,,,1019.3546493867414,1128.2105195788774
20061227,,1089.0214797136039,,,,,,926.1071448113898,1017.0366273231001,,,1030.6545343511802,,,,1040.073483081283,984.82677929386,,,945.990736904392,,,,,,,,,1021.0195789859915,1124.5035728017094
20061228,,1074.7016706443912,,,,,,933.3201386398366,1009.470730578953,,,1039.5649550359449,,,,1031.9455089356786,992.4346456622449,,,945.4146455652104,,,,,,,,,1017.357033598061,1129.21368363163
20061229,,1066.1097852028636,,,,,,930.982867518713,1013.2174537645465,,,1041.482808394161,,,,1030.2151856824491,995.1475545851963,,,953.8830227159016,,,,,,,,,1019.5856492722901,1123.9660108569
20070104,,1046.778042959427,,,,,,896.8212702624909,1006.4064170998228,,,1024.3343416944015,,,,1004.5278314463831,976.9147431051931,,,943.2510006112881,,,,,,,,,997.9423905755001,1086.9232863572356
20070105,,1050.5966587112168,,,,,,856.8288826172794,1005.4463443422967,,,1014.1824482493467,,,,1008.5546435888507,974.2603189067273,,,926.0061996849182,,,,,,,,,990.992367299067,1054.2771246444108
20070108,,1054.6539379474937,,,,,,830.4301435410932,1006.3303304126499,,,991.0982125177746,,,,1011.1071187082068,974.2859477513458,,,929.2701161325707,,,,,,,,,994.6478653278392,1056.94500112749
20070109,,1052.505966587112,,,,,,829.8151857663585,1006.0799527671822,,,1005.1722820655049,,,,1002.4963171430782,966.8646223831121,,,926.0569009344529,,,,,,,,,983.7584196498111,1087.9355361353262
20070110,,1051.7899761336512,,,,,,852.3795692488537,1003.5948164775109,,,1015.8740950276973,,,,1001.2839381301776,963.7945278441254,,,925.4998598045457,,,,,,,,,986.7283124014602,1120.3241623838223
20070111,,1047.9713603818614,,,,,,877.1910977043328,1003.1049575120687,,,1024.8452724670935,,,,1014.7741812919954,970.2192191041364,,,929.9045700000731,,,,,,,,,989.3235311238584,1121.5404831437281
20070112,,1044.391408114558,,,,,,859.8341551650478,1002.5536087419591,,,1012.2563741259878,,,,1019.2421145770451,968.051724861181,,,923.798164047879,,,,,,,,,987.4331171690753,1109.2097139199382
20070115,,1046.53937947494,,,,,,855.1534067624327,994.2404706380795,,,1013.8112962296456,,,,1053.5710948407354,999.56199837813,,,931.8675245841055,,,,,,,,,1017.9661043622835,1121.7141982901412
20070116,,1042.9594272076367,,,,,,834.4040606046017,988.6257328941662,,,1007.2386124804723,,,,1066.735879965716,1013.9758451871039,,,924.7113966270459,,,,,,,,,1006.8220223135296,1127.3065720932366
