,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20061201,,,,,,,,996.0387627077256,998.6325574524968,,,996.8171054373872,,,,993.2079422623593,983.8021066132491,,,962.7578992176253,,,,,,,,,989.5541674087145,959.8950542772545
20061204,,,,,,,,998.3697659040721,1000.1776545739124,,,1009.3416467355271,,,,983.3975184604745,966.8263656263771,,,947.5596751153369,,,,,,,,,985.2512700210406,940.7648177454304
20061205,,,,,,,,979.6013026541498,1003.0052156627515,,,1006.5992659763765,,,,974.9110128826596,952.5536037765302,,,938.9604282709846,,,,,,,,,979.7379424209905,953.9425706365115
20061206,,,,,,,,993.6540972596633,1005.0325502116591,,,1007.7131548280752,,,,981.2072790932353,948.2858437317416,,,940.4046605726013,,,,,,,,,991.0941038373253,979.4886280502734
20061207,,,,,,,,976.1183621697078,998.3666533800332,,,999.2455762064417,,,,971.3555700557839,944.6411808604958,,,930.986657156844,,,,,,,,,971.3806403954136,979.688691708557
20061208,,,,,,,,970.9972204995105,999.4597239743047,,,1004.2086050332657,,,,985.6946542514214,958.7599682541845,,,937.5431230389465,,,,,,,,,975.6760333453759,987.152410459256
20061211,,,,,,,,974.283637417868,997.7049849554185,,,1008.7520506726513,,,,987.7836667015889,958.1129261028815,,,950.1260205533197,,,,,,,,,976.5425166710075,1012.4399785394174
20061212,,,,,,,,981.950622470303,1006.0176673770833,,,1008.0226701348512,,,,1006.3071204102106,962.8918008201446,,,952.8563426473637,,,,,,,,,996.0721832182102,1006.8966464332273
20061213,,,,,,,,973.9316541709428,1000.668878035939,,,1011.3471360008554,,,,1002.8309911147446,952.2168837116643,,,944.3452764850492,,,,,,,,,995.0337639277164,1009.9903958881797
20061214,,,,,,,,962.5927613781578,1001.6654547410786,,,1018.9449931738186,,,,1003.0415661703529,956.0916722645574,,,941.5674611324981,,,,,,,,,998.066624637005,1014.1739348585604
20061215,,,,,,,,968.9677292677526,1008.6966122676071,,,1024.3827574604452,,,,1007.5217613273343,954.9222929951428,,,947.6642931334073,,,,,,,,,986.1601402421993,1014.3369882597765
20061218,,1018.854415274463,,,,,,961.7590772443565,1008.0759044609675,,,1017.4283389596095,,,,1000.5234911932542,944.4073686361398,,,943.8096881874177,,,,,,,,,978.6156046348078,1015.5645604259795
20061219,,1050.835322195704,,,,,,961.8796307354454,1009.0828937462974,,,1021.3926469155117,,,,1000.3495524270454,938.7979546947691,,,949.4231051592178,,,,,,,,,976.2885178741981,1023.4648449950844
20061220,,1062.7684964200475,,,,,,962.9029645883319,1008.8165410075944,,,1023.3915270931391,,,,1012.6624356917308,945.3199995935622,,,946.9416831660423,,,,,,,,,986.662668018593,1033.5088712754348
20061221,,1060.143198090692,,,,,,938.8262232454556,1003.3522656268135,,,1022.4670026198253,,,,1010.7803387958463,943.5195904539803,,,948.6065910168875,,,,,,,,,986.9767676843056,1043.8499437414778
20061222,,1052.983293556086,,,,,,909.4545842580211,1009.3357843357055,,,1005.5242229425326,,,,1026.470561462608,950.3669090680127,,,941.6899312077602,,,,,,,,,990.5837006596417,1065.1629813377517
20061225,,1063.484486873508,,,,,,907.828542868265,1012.4533286578012,,,1013.4939831508351,,,,1029.3900588339288,957.8414869578437,,,939.0038677160396,,,,,,,,,993.1379975329654,1077.4932282670668
20061226,,1081.3842482100238,,,,,,913.1350983020789,1010.2593876570857,,,1017.1597466113203,,,,1034.799426989169,968.211029662106,,,937.5928455636652,,,,,,,,,996.3535257400356,1100.656590908448
20061227,,1074.9403341288782,,,,,,915.8743292949537,1008.8575073746312,,,1024.1115681357203,,,,1019.8060605868201,973.574932456526,,,940.3800606560656,,,,,,,,,1007.7748555241213,1098.004065026145
20061228,,1056.0859188544152,,,,,,919.630314846527,1005.836027904562,,,1028.8934159465439,,,,1022.5819572512271,972.5933379020662,,,940.8477535472874,,,,,,,,,1005.3944393042412,1103.8185501813452
