,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20061201,,,,,,,,1008.4118852727134,1005.6778959230293,,,1010.8992692401266,,,,1006.6168486273172,1000.1991800479199,,,992.9501094093449,,,,,,,,,1007.0377000531461,989.9884424717861
20061204,,,,,,,,1001.8190939571813,1001.6576916587926,,,1013.1013392557338,,,,991.2202333669601,978.3938215248982,,,961.5384313269326,,,,,,,,,988.0217087942525,947.8658632627223
20061205,,,,,,,,999.8589813587391,1004.7135206976105,,,1012.251503197078,,,,979.3411043470204,953.4478479705837,,,942.7191797477775,,,,,,,,,984.0093814907177,964.9145677273752
20061206,,,,,,,,1000.4856552174609,1008.5706203752218,,,1015.9533347718249,,,,986.6953760050258,960.189093106483,,,957.1131198498044,,,,,,,,,993.4347566259883,1001.2131957447598
20061207,,,,,,,,978.1808124606739,1004.0637033262808,,,999.7599377624961,,,,974.4677322828562,948.1262916559413,,,935.6441956785128,,,,,,,,,980.5948580101783,983.7462861146432
20061208,,,,,,,,975.5542797618652,999.9534878707121,,,1007.4188490368017,,,,990.8381497399984,964.8122915194378,,,940.9962632065113,,,,,,,,,983.9973448479474,1006.584107041468
20061211,,,,,,,,978.2968506446582,998.8733397459511,,,1010.8789255987552,,,,988.835388337939,959.2122284718067,,,950.1260205533197,,,,,,,,,978.4853134820812,1016.4266061062655
20061212,,,,,,,,982.4798028936032,1008.103280573197,,,1009.8206887724931,,,,1006.3140546689082,964.1612794882017,,,956.6877902110646,,,,,,,,,998.208760922518,1007.0280382869271
20061213,,,,,,,,975.2881961882931,1009.0394038119065,,,1011.6965562026552,,,,1016.1709042629305,963.0878039688852,,,950.9458940294656,,,,,,,,,1002.2773650839189,1020.005770962505
20061214,,,,,,,,964.6991269422557,1002.9667869158793,,,1020.5889924599088,,,,1006.5696317921339,958.7051190090816,,,946.9563016965861,,,,,,,,,1002.8550383898416,1024.5092234388567
20061215,,,,,,,,972.882326774034,1011.2586496146655,,,1031.3354872892633,,,,1013.2835301310469,962.5750893672397,,,954.3736564826149,,,,,,,,,998.6976912058531,1014.5932072368939
20061218,,1018.854415274463,,,,,,962.3062125286281,1010.6825037968201,,,1019.0015225518035,,,,1008.7651365122102,952.5258816577499,,,950.5377457696605,,,,,,,,,983.1987428100729,1024.2725131931747
20061219,,1057.2792362768496,,,,,,967.8130662918206,1010.902595409002,,,1022.407119785373,,,,1002.4092113159093,938.7979546947691,,,955.2601398018887,,,,,,,,,976.48077437258,1026.2864410965067
20061220,,1067.3031026252982,,,,,,966.2459526661598,1010.3103405252866,,,1026.0665356272982,,,,1016.1360651997268,950.1902021638997,,,949.1286204255172,,,,,,,,,990.687007444309,1033.5322538916214
20061221,,1066.8257756563246,,,,,,956.1768326677185,1007.3294470859662,,,1024.9843446365262,,,,1012.7202446245537,945.050119139535,,,948.8192950098073,,,,,,,,,989.4553423314334,1049.9384644073962
20061222,,1062.529832935561,,,,,,916.6425359716998,1011.8582519863439,,,1022.3025849710621,,,,1030.8906981625873,954.3999127794114,,,951.2073617039249,,,,,,,,,994.5848914662021,1068.7755365362582
20061225,,1064.200477326969,,,,,,910.3249183190567,1016.3733415405212,,,1015.6981322292995,,,,1034.6530837738599,959.2977697913125,,,941.6138094456209,,,,,,,,,999.2913385348869,1097.440423576524
20061226,,1088.3054892601433,,,,,,917.1954577041812,1014.7259714144496,,,1019.1785292345625,,,,1037.524194745666,969.6869319316572,,,940.8596970350643,,,,,,,,,997.136089881442,1102.6455386801836
20061227,,1083.7708830548925,,,,,,921.518516288977,1016.1574658068288,,,1025.0734100214024,,,,1039.2072003459514,981.0266253412241,,,941.198022618697,,,,,,,,,1017.6348725463699,1115.3734598401745
20061228,,1073.9856801909307,,,,,,928.5035829112038,1008.4475530250479,,,1029.631667899396,,,,1025.3925120471406,975.2447805396902,,,941.4981202870678,,,,,,,,,1009.9426190752051,1115.8748000690484
20061229,,1056.085918854415,,,,,,928.5999363881956,1011.5213875550584,,,1037.9005364065742,,,,1028.4363094369864,988.7318123893524,,,945.4916010246822,,,,,,,,,1014.3078980496584,1122.8843032528755
20070104,,1036.9928400954652,,,,,,896.8212702624909,1003.7906695098056,,,1018.4150139461545,,,,996.378907607953,976.8700258350269,,,937.4269950643558,,,,,,,,,997.6053747227703,1066.3283363860405
20070105,,1033.412887828162,,,,,,850.0590316749497,1001.8132043635939,,,995.3826785315512,,,,998.8649287180989,962.5567446138751,,,920.3502204128705,,,,,,,,,977.6686591301462,1048.6731526894382
20070108,,1050.8353221957036,,,,,,828.3292452532439,1004.0270280884314,,,980.9685806508635,,,,1010.3730385807694,973.2312239768614,,,920.3659141206126,,,,,,,,,989.3254900090595,1029.972147463912
20070109,,1041.2887828162288,,,,,,820.4268067013279,1006.0239622841362,,,989.7911877489681,,,,1001.7479265659534,962.3251363121411,,,925.6277599209614,,,,,,,,,976.6379966560515,1051.6401387193196
20070110,,1048.9260143198087,,,,,,832.3453623121637,1001.7234293879959,,,1005.1587079119813,,,,989.9865736104605,955.2969765388249,,,920.8918995850821,,,,,,,,,975.5361994222271,1084.0390049143743
20070111,,1036.9928400954652,,,,,,874.24999781244,1002.1790922807949,,,1020.9247843140269,,,,1006.6302639975418,963.3486025009381,,,923.3124178601417,,,,,,,,,984.6953829133788,1108.7200759391326
20070112,,1040.5727923627683,,,,,,859.3390093633606,1002.5536087419591,,,1011.117853795957,,,,1017.1921874490822,966.7936325148687,,,921.5093643509201,,,,,,,,,986.0633045158127,1105.2473963653767
20070115,,1040.5727923627683,,,,,,842.1710144932706,994.2404706380795,,,1006.4657013566845,,,,1053.5220090592413,999.56199837813,,,927.1271232975425,,,,,,,,,1017.9661043622835,1088.52186792468
20070116,,1038.1861575178993,,,,,,833.1835240763049,988.0087618429546,,,1006.0068577939335,,,,1062.5624071175625,1010.6605076199545,,,923.7357174179233,,,,,,,,,1005.2762777052944,1122.9433455332958
20070117,,1024.3436754176607,,,,,,824.4685631511078,985.2963480856662,,,999.3993065446524,,,,1039.826393703304,1004.4057990639741,,,921.533663017607,,,,,,,,,994.8923605931242,1092.9040503100048
20070118,,1017.899761336515,,,,,,826.1129397260919,990.5752866667615,,,991.516486186088,,,,1045.6920397481986,1029.2216305701493,,,920.6273011036507,,,,,,,,,999.954386758372,1106.8885030576093
20070119,,995.7040572792358,,,,,,798.4692906272468,984.0946254811989,,,986.9517610561893,,,,1039.1622676261345,1015.1588620186728,,,913.9256241013992,,,,,,,,,990.6427087333606,1098.8943399303012
20070122,,998.8066825775653,,,,,,810.9970838640444,978.8085204296955,,,997.6879955050858,,,,1019.0118503051056,994.4118495483019,,,914.9416393146882,,,,,,,,,985.3186946851602,1085.3142568648007
20070123,,961.8138424820999,,,,,,817.1902486860273,975.3020164698868,,,1006.0789726646199,,,,1027.8846823756787,1006.1517110439129,,,915.6581494675214,,,,,,,,,984.1487623904951,1103.0384304232623
20070124,,980.9069212410498,,,,,,833.3755996883478,982.4253885268552,,,1009.7919567573443,,,,1031.5372626875533,1013.9069388123703,,,915.9034304967008,,,,,,,,,997.8726248253606,1139.135815415776
20070125,,985.4415274463004,,,,,,845.1581401257497,980.2391510858432,,,1008.5921548961211,,,,1020.2273748433847,1006.5787978586008,,,918.2492282293014,,,,,,,,,982.3913709635549,1164.0568563840793
20070126,,984.7255369928398,,,,,,861.6533438143904,981.6290512634606,,,1004.1042105962756,,,,1021.1552690783277,1010.6921584743332,,,917.414436298367,,,,,,,,,982.2788340444805,1159.6220935532203
20070129,,991.1694510739853,,,,,,845.7021606770275,983.5058943799675,,,1000.7793524207456,,,,1018.710957480195,1009.1402728684307,,,917.9292739128242,,,,,,,,,965.4594712984738,1177.7019695058518
20070130,,974.940334128878,,,,,,817.933405966355,982.3702355435961,,,987.5701883029884,,,,1016.2628072332537,1006.3117807914045,,,916.0005074216228,,,,,,,,,957.4511086513098,1188.8825426458766
20070131,,988.066825775656,,,,,,831.6749581430347,981.7085198883595,,,994.4698650174953,,,,1021.1685535134806,1007.9961608781273,,,925.2867750761117,,,,,,,,,969.5771076157173,1208.8734445521106
20070201,,988.0668257756561,,,,,,839.2226025357684,986.9579508302778,,,1001.1995471019507,,,,1020.3332831489327,1008.5338140211683,,,939.4011926813293,,,,,,,,,961.1903091747805,1208.3171008447723
20070202,,988.0668257756562,,,,,,822.8537758426203,985.5189952971258,,,1006.0618734007555,,,,1017.5856422216448,1007.6193212461982,,,935.0551965965305,,,,,,,,,967.7604500714467,1180.4032087155815
20070205,,984.486873508353,,,,,,789.2480229878269,990.1843522393611,,,999.6190879578844,,,,1025.7105608627996,1032.193035591843,,,936.0030846582187,,,,,,,,,982.0877149553545,1173.2772022283646
20070206,,976.1336515513125,,,,,,788.8415307558247,988.7425446106316,,,1007.2497009077464,,,,1018.8550197143675,1024.5102100584118,,,942.5619324905277,,,,,,,,,982.5666729320176,1142.2479602815126
20070207,,984.2482100238661,,,,,,809.4614963644219,983.4527294761989,,,1013.480384682301,,,,1019.795271621606,1029.8114279690437,,,934.1037071612045,,,,,,,,,983.6951993173492,1175.5110634290709
20070208,,984.0095465393792,,,,,,796.177543164831,981.3447543865337,,,999.826526062414,,,,1019.4648902436081,1035.6040074444177,,,924.4043685608112,,,,,,,,,982.7665852569028,1215.6099039333003
20070209,,990.4534606205248,,,,,,801.2951635266681,982.3340950109529,,,1010.2979001217657,,,,1022.7963535319606,1036.167266650647,,,931.280048506319,,,,,,,,,976.037756532758,1184.2871311808865
20070212,,988.3054892601428,,,,,,822.8292011961051,983.2895744692781,,,1007.8850442480589,,,,1023.7157798406411,1039.4379966922972,,,931.6670808483769,,,,,,,,,975.3369072194691,1198.1467442164121
20070213,,990.6921241050117,,,,,,817.0435424188406,981.1970243246284,,,1005.9121479438543,,,,1017.8795713618368,1030.9643375473643,,,926.0957218809073,,,,,,,,,964.1481450570345,1191.3386807881573
20070214,,1004.7732696897372,,,,,,854.127501102872,980.163766842581,,,1023.789876711942,,,,1017.8451801044358,1033.2263649157978,,,930.7850250325886,,,,,,,,,964.718697176776,1202.8478295538225
20070215,,1004.7732696897372,,,,,,855.6604075942345,975.7438097974483,,,1019.6905283178935,,,,1013.1019743083652,1032.1096014354018,,,937.8088664771881,,,,,,,,,962.5213618162318,1176.0448510121898
20070216,,1004.7732696897372,,,,,,877.5102453038352,981.5787492736197,,,1022.8432638881899,,,,1013.7345312451511,1039.3129713014123,,,953.4964659586616,,,,,,,,,967.4515898121896,1158.6345920372592
20070226,,1014.3186764483629,,,,,,910.0600571319,985.2014266730657,,,1046.585076115325,,,,1024.6484587252955,1073.479474501091,,,962.189491700933,,,,,,,,,977.8278015308304,1208.8893772812773
20070227,,1004.058124465316,,,,,,938.86270532783,984.8888837480487,,,1047.4664332114564,,,,1022.182987415554,1079.5195641493792,,,956.2929068730676,,,,,,,,,976.8895096608641,1212.1742201239715
20070228,,999.0471445037326,,,,,,898.8042266060489,977.0951514224422,,,1023.1314854559196,,,,1008.3174472418909,1065.6135994721644,,,955.5892634985494,,,,,,,,,970.8829671733156,1159.943892910524
20070301,,1008.5926855559842,,,,,,911.2261731891167,973.3561774530402,,,1029.6818688482156,,,,1019.2601189408311,1076.7702676189278,,,961.2084576039254,,,,,,,,,977.8817360096841,1176.0140340280625
20070302,,1010.7396054425263,,,,,,906.8777764544843,969.7921711187615,,,1025.1441381545808,,,,1007.9400354465222,1049.5875438101268,,,963.7271226252333,,,,,,,,,964.8018654316702,1178.8097046186608
20070305,,1014.3353689101388,,,,,,891.5570459515051,975.4359085731596,,,1021.756879998784,,,,1006.5296617898363,1047.9073708665167,,,971.1645857896559,,,,,,,,,960.2736989324804,1146.5651816302943
20070306,,1010.2791435042733,,,,,,875.7139670405606,971.3736287100849,,,1011.1176395445478,,,,1012.5659438818593,1056.5821514891861,,,958.7660045367631,,,,,,,,,963.7213954848165,1151.9656370580437
20070307,,1014.329056610601,,,,,,893.6763589059914,976.4063286805912,,,1018.8655493486857,,,,1008.7567394863183,1058.6048814723474,,,968.0919312227447,,,,,,,,,964.960733002859,1155.485991506341
20070308,,1017.9069324455072,,,,,,910.5064420270701,981.4014686414268,,,1026.0150974834676,,,,1009.9653006709398,1057.9000514142076,,,966.3136985689437,,,,,,,,,968.5390860665144,1147.5901437143966
20070309,,1013.1357411458096,,,,,,918.3235603096732,981.6247733867851,,,1023.8116314638609,,,,1005.2759315496436,1055.2833242798947,,,977.3213752580481,,,,,,,,,968.0571625682275,1140.7839010656826
20070312,,1005.9789347528202,,,,,,901.3458640145304,979.6297931139871,,,1015.7962529823499,,,,996.4615380948779,1049.0483487805607,,,986.5793046029778,,,,,,,,,964.6320115115977,1150.939028973934
20070313,,1002.3820729150664,,,,,,923.5445718015096,978.9925032219883,,,1023.9762707987933,,,,996.8500835391117,1053.9295666651233,,,990.2829361317923,,,,,,,,,966.5083689240608,1152.6447567050416
20070314,,1000.4892384439365,,,,,,916.0172058948086,972.4947894359162,,,1016.1905598596727,,,,999.0516578966827,1046.0130712960465,,,980.7568051216031,,,,,,,,,968.4206301748953,1130.2226777174267
20070315,,1001.0025253206841,,,,,,927.5794891309388,973.3297876921647,,,1016.0412455557872,,,,1003.3731574422264,1043.41164431044,,,982.8585787097885,,,,,,,,,970.6036424029852,1132.4678738359478
20070316,,997.1689465701796,,,,,,963.8215446061673,972.4973852392093,,,1025.115605991999,,,,1001.123448717806,1036.8818095881923,,,976.0824592141366,,,,,,,,,966.5197094080349,1118.264584800531
20070319,,1000.9882332173448,,,,,,960.0666313237026,971.4608880778262,,,1022.8817848723176,,,,1007.5489989794925,1040.4977930971802,,,972.7219479309116,,,,,,,,,968.3092852258201,1128.8901673306066
20070320,,1000.9882494986554,,,,,,965.7720276715855,963.8942006227132,,,1021.4452622462671,,,,1003.5564384638035,1039.7668269404098,,,982.7598648683038,,,,,,,,,968.2153428233586,1130.103620468798
20070321,,998.8530446832912,,,,,,962.8620932841701,961.3194503352082,,,1018.6873306161312,,,,1008.1944748677554,1043.7534101056951,,,995.0349102362653,,,,,,,,,971.6515700458912,1134.2450440570021
20070322,,999.3093231892594,,,,,,963.6039322431861,960.9012383150585,,,1018.3530034505719,,,,1004.2467972691734,1039.9102494864999,,,992.9478930564571,,,,,,,,,970.9733973120867,1138.6974532329625
20070323,,1003.6034090168408,,,,,,972.4897236818365,958.5988756992122,,,1017.9149349878346,,,,1002.8083033182977,1043.1890831685112,,,991.2445235977287,,,,,,,,,973.6026689594213,1132.7610599635975
20070326,,1005.7624287181674,,,,,,976.1211841059804,958.4236788001227,,,1014.5184379233084,,,,1000.7166167868595,1037.668649468801,,,992.3587315595983,999.0543761953328,,,,,,,,982.4657364193748,1127.5900965956153
20070327,,1003.3821975111056,,,,,,996.3587348975295,952.2416115995895,,,1012.98768367631,,,,993.0269051865898,1027.3586364327612,,,985.4918910411061,1035.2947918322893,,,,,,,,976.7443651041664,1142.0558983635299
20070328,,995.7640336352167,,,,,,979.402355181043,948.7109484611923,,,1005.9702770046094,,,,999.5098353780174,1031.5724718698045,,,987.4452219430174,1031.857081147941,,,,,,,,982.5202130803856,1161.6286700444589
20070329,,998.5993847690467,,,,,,980.7272806333555,953.1379279196716,,,1004.8609659807427,,,,1001.0231467082273,1037.856638759639,,,978.9357957772612,1032.6322286518366,,,,,,,,996.3273275509428,1159.5212545543914
20070330,,998.8260977764161,,,,,,986.9414368168358,954.7328254776065,,,1007.1579013522215,,,,999.9775659261165,1037.1737113841866,,,968.0897587707406,1030.5789289997354,,,,,,,,1000.3161417108472,1166.8784291780478
20070402,,990.5153497601808,,,,,,1000.4016044848585,947.3095815181173,,,1001.9911933056146,,,,970.4536429683694,1024.0837750344515,,,958.7958418620738,1029.7688314435647,,,,,,,,993.4331283978263,1180.5708539427785
20070403,,1014.0176547862657,,,,,,1011.2381194409877,949.4513353948811,,,998.4273507935201,,,,991.5242897791979,1043.6461285847997,,,957.7083902426845,1014.213682197159,,,,,,,,1006.1158086305442,1188.3843350156774
20070404,,1021.5603481802802,,,,,,1044.6332707302038,956.6040150457421,,,1009.5988199618897,,,,991.1020166663649,1038.2629306531749,,,961.713579851418,1024.5492650120375,,,,,,,,1015.1146660186283,1186.4300443435852
20070405,,1020.1888902926215,,,,,,1042.518253049001,957.9064834614751,,,1011.63508253393,,,,997.0820332580748,1037.166689913398,,,965.2394351862723,1040.6645206827968,,,,,,,,1026.8599178006596,1173.6403311676172
20070406,,1019.1690713972191,,,,,,1043.836414744001,955.0877802066761,,,1008.8419862024159,,,,995.8031598294657,1034.1987167962732,,,964.6294252132268,1059.7502976511937,,,,,,,,1017.8997537011297,1164.3554372414987
20070409,,1018.4829033450743,,,,,,1074.0368419947574,951.2755640790194,,,1020.9994090349885,,,,995.2806187997542,1034.1735228165323,,,963.533113591506,1106.7992684364349,,,,,,,,1014.4475920656715,1199.2230066547108
20070410,,1012.8832584934015,,,,,,1118.0557249013418,946.5717939492044,,,1036.633273090876,,,,1001.2707390956307,1026.3397739853299,,,955.5903500752883,1150.3842020818072,,,,,,,,1010.7523439327925,1215.7866851513804
20070411,,1015.7478229271666,,,,,,1128.7599665403864,943.6782687240873,,,1029.7738874874965,,,,1002.886958186243,1020.0493604343061,,,951.630415244844,1148.205964296901,,,,,,,,1015.1398022600965,1218.284169469443
20070412,,1016.2351699223776,,,,,,1130.4468511454365,950.3404045165566,,,1026.766279619296,,,,997.3574090299842,1018.4598165109602,,,942.1209240526039,1139.0427584291206,,,,,,,,1022.969837992917,1242.448793124934
20070413,,1033.8205022836025,,,,,,1112.6324315838876,944.2912072656802,,,1022.6803079128015,,,,993.8535417103024,1001.8417528667718,,,941.8386958398486,1121.831147102001,,,,,,,,1035.9484092457708,1253.2317204932986
20070416,,1047.0592007436585,,,,,,1135.5372422009248,942.7785234372808,,,1028.1513076885576,,,,982.4306889937166,977.8794926164094,,,951.1203040807657,1121.8924105716214,,,,,,,,1044.2623029523352,1255.8165325964223
20070417,,1047.4343944775324,,,,,,1143.973082309837,930.6724269977329,,,1026.4162578032171,,,,985.4307201743089,982.0997496692145,,,933.9221367752318,1124.470061801491,,,,,,,,1060.74600908299,1273.3708445254144
