,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20061201,,,,,,,,75182.0,56766.0,,,152570.0,,,,1378408.0,304894.0,,,113440.0,,,,,,,,,47194.0,14188.0
20061204,,,,,,,,74968.0,58586.0,,,151678.0,,,,1345528.0,295400.0,,,113822.0,,,,,,,,,46668.0,13412.0
20061205,,,,,,,,75058.0,59990.0,,,149832.0,,,,1335224.0,283020.0,,,116912.0,,,,,,,,,45824.0,13450.0
20061206,,,,,,,,73966.0,61514.0,,,151056.0,,,,1363154.0,282058.0,,,118182.0,,,,,,,,,46040.0,13132.0
20061207,,,,,,,,73786.0,57790.0,,,150752.0,,,,1391866.0,279642.0,,,113656.0,,,,,,,,,47214.0,13010.0
20061208,,,,,,,,74226.0,57656.0,,,156080.0,,,,1389884.0,273946.0,,,112726.0,,,,,,,,,46446.0,12682.0
20061211,,,,,,,,74886.0,57712.0,,,157106.0,,,,1409542.0,273734.0,,,113952.0,,,,,,,,,43580.0,12570.0
20061212,,,,,,,,73684.0,60454.0,,,156024.0,,,,1466940.0,273010.0,,,109102.0,,,,,,,,,42656.0,12522.0
20061213,,,,,,,,75224.0,59554.0,,,162164.0,,,,1447386.0,277556.0,,,104874.0,,,,,,,,,39724.0,12514.0
20061214,,,,,,,,77928.0,61582.0,,,157324.0,,,,1473092.0,278816.0,,,107310.0,,,,,,,,,39914.0,12268.0
20061215,,,,,,,,80186.0,66914.0,,,157786.0,,,,1468482.0,283508.0,,,103224.0,,,,,,,,,40530.0,12080.0
20061218,,6202.0,,,,,,77968.0,66464.0,,,156952.0,,,,1473730.0,300880.0,,,104886.0,,,,,,,,,40754.0,12008.0
20061219,,7488.0,,,,,,79782.0,67198.0,,,156960.0,,,,1467032.0,303448.0,,,112682.0,,,,,,,,,43252.0,11976.0
20061220,,8882.0,,,,,,79792.0,66704.0,,,158360.0,,,,1448456.0,299658.0,,,111096.0,,,,,,,,,43562.0,12404.0
20061221,,8080.0,,,,,,80896.0,64638.0,,,154262.0,,,,1532464.0,309538.0,,,114982.0,,,,,,,,,43654.0,12346.0
20061222,,7556.0,,,,,,82500.0,69526.0,,,152726.0,,,,1543948.0,310470.0,,,115682.0,,,,,,,,,42222.0,12732.0
20061225,,12402.0,,,,,,83352.0,69084.0,,,153580.0,,,,1500076.0,306132.0,,,116936.0,,,,,,,,,41972.0,12684.0
