,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20061201,,,,,,,,1004.839318258412,1003.0634621344203,,,1004.1754701609083,,,,1000.1906655745931,991.2274354067965,,,974.489668227905,,,,,,,,,998.7031715398563,969.1215982854585
20061204,,,,,,,,1001.8495787696726,1005.2001657397689,,,1012.4277322450884,,,,989.7754232899174,971.414608953324,,,953.3049051814864,,,,,,,,,995.9044383134492,962.9966478025641
20061205,,,,,,,,989.0986132307552,1007.3819022695502,,,1009.9274627771347,,,,978.9781937586433,957.4045780339709,,,952.9727163516384,,,,,,,,,987.9474172989837,977.8000958851362
20061206,,,,,,,,997.9473577536229,1011.0352898228989,,,1010.9470865273033,,,,985.4648058820391,955.8080863637947,,,947.6870701812499,,,,,,,,,994.3019225835587,991.9051525260327
20061207,,,,,,,,981.9404134295619,1001.3865513534896,,,1003.4129673949112,,,,978.0806749074051,954.2319524088898,,,940.2514421726996,,,,,,,,,979.81665936905,986.4804079369371
20061208,,,,,,,,976.6926789357921,1001.7561002159896,,,1007.5640136404953,,,,988.7851731623382,961.2073305712709,,,945.3259776202049,,,,,,,,,979.4134021696785,1012.006836402925
20061211,,,,,,,,977.4429691033685,999.9928156668557,,,1011.1458327473284,,,,999.9176925679227,962.2341265423584,,,954.5188914540875,,,,,,,,,984.9017212003682,1020.1973215638549
20061212,,,,,,,,985.332366648695,1007.8532146258492,,,1011.170038554513,,,,1014.9834126229827,966.255789106064,,,957.1419027924424,,,,,,,,,1007.5591241130954,1024.9697141998197
20061213,,,,,,,,977.6407373711421,1005.6674357869024,,,1017.8764672494796,,,,1008.5950999160796,955.9355617639688,,,948.0971668303541,,,,,,,,,1000.5163932837875,1023.6207822187038
20061214,,,,,,,,966.7620258079249,1005.6811033592983,,,1020.9785710287666,,,,1007.3518124441971,963.0220946579836,,,950.7342297285396,,,,,,,,,1001.9008513338385,1023.4363375691298
20061215,,,,,,,,971.2187700734413,1012.3898430872368,,,1027.333358128532,,,,1010.8152824256025,957.350818415648,,,949.9267683056563,,,,,,,,,989.8254337050149,1019.4304550696536
20061218,,1065.1551312649165,,,,,,965.5955440202378,1010.0315475125145,,,1022.0838253265998,,,,1005.6676955555281,946.923819246375,,,946.9858157257823,,,,,,,,,983.0240431283045,1026.4114235184475
20061219,,1062.291169451074,,,,,,967.3419674895342,1011.3863863585755,,,1024.7043999216214,,,,1005.2533570599336,942.9105285797798,,,952.3650300406099,,,,,,,,,982.7762824584589,1027.2753657504886
20061220,,1067.780429594272,,,,,,964.8102485044631,1010.7843514279037,,,1026.7919678445498,,,,1015.3105193601494,947.3342704043846,,,952.1530194153764,,,,,,,,,988.711709345004,1044.7231700740108
20061221,,1063.723150357995,,,,,,947.3910836306203,1006.3803804286915,,,1024.8276769341924,,,,1020.841660649618,953.3728471616558,,,951.3708459734738,,,,,,,,,993.056383028922,1048.817865270796
20061222,,1060.381861575179,,,,,,911.1929493245088,1013.0578060627166,,,1013.2988396564822,,,,1032.2431074118106,955.155815153518,,,945.6785472377449,,,,,,,,,995.4329861243809,1079.3509778138928
20061225,,1082.816229116945,,,,,,917.3736127687068,1013.918333003703,,,1017.6547919247023,,,,1032.9801699922425,966.1152880325975,,,942.2642129829419,,,,,,,,,996.539902303497,1087.0456447832464
