,SAU,ZTA,DXL,FIF,DPP,DCS,DXP,SCU,ZCF,ZFG,SRB,SAL,FIH,DXI,ZOI,DXC,DXM,SAG,FTF,ZSR,SZN,DJM,FXT,SNI,DXJ,FIC,SHC,DJD,DXY,SRU
20061201,,,,,,,,32782.0,17750.0,,,71328.0,,,,1261660.0,151356.0,,,305014.0,,,,,,,,,92608.0,7500.0
20061204,,,,,,,,23082.0,20378.0,,,85730.0,,,,1060234.0,167700.0,,,243488.0,,,,,,,,,70796.0,6126.0
20061205,,,,,,,,40574.0,21312.0,,,53958.0,,,,918126.0,124338.0,,,241190.0,,,,,,,,,58670.0,5804.0
20061206,,,,,,,,35968.0,28784.0,,,60926.0,,,,569902.0,121136.0,,,213142.0,,,,,,,,,48148.0,6716.0
20061207,,,,,,,,29932.0,17200.0,,,53342.0,,,,895808.0,186686.0,,,225656.0,,,,,,,,,87610.0,2168.0
20061208,,,,,,,,38556.0,9274.0,,,56090.0,,,,723984.0,113058.0,,,157236.0,,,,,,,,,65540.0,4808.0
20061211,,,,,,,,23926.0,10236.0,,,36710.0,,,,934668.0,100616.0,,,117754.0,,,,,,,,,70474.0,3346.0
20061212,,,,,,,,19884.0,21370.0,,,33112.0,,,,1434486.0,96446.0,,,161532.0,,,,,,,,,89562.0,3668.0
20061213,,,,,,,,20828.0,16358.0,,,93244.0,,,,1044456.0,89412.0,,,136422.0,,,,,,,,,82506.0,2898.0
20061214,,,,,,,,38932.0,15230.0,,,67976.0,,,,955310.0,117870.0,,,137470.0,,,,,,,,,54258.0,2758.0
20061215,,,,,,,,23162.0,31840.0,,,66686.0,,,,584224.0,80800.0,,,92912.0,,,,,,,,,62934.0,1586.0
20061218,,44576.0,,,,,,24936.0,9754.0,,,45978.0,,,,613726.0,92862.0,,,88588.0,,,,,,,,,53620.0,2012.0
20061219,,49070.0,,,,,,30044.0,15218.0,,,48296.0,,,,733298.0,96438.0,,,94322.0,,,,,,,,,50490.0,2924.0
20061220,,25586.0,,,,,,19880.0,9224.0,,,57006.0,,,,639048.0,55442.0,,,95998.0,,,,,,,,,30116.0,2552.0
20061221,,19414.0,,,,,,52404.0,15094.0,,,45026.0,,,,1045564.0,156674.0,,,90798.0,,,,,,,,,39280.0,2004.0
20061222,,9954.0,,,,,,35668.0,28420.0,,,88628.0,,,,1605382.0,132348.0,,,118550.0,,,,,,,,,38520.0,5674.0
20061225,,34790.0,,,,,,44788.0,17618.0,,,44626.0,,,,897702.0,171342.0,,,101840.0,,,,,,,,,25712.0,3160.0
20061226,,37246.0,,,,,,21286.0,16100.0,,,34530.0,,,,1321038.0,179318.0,,,93478.0,,,,,,,,,75916.0,5756.0
20061227,,35680.0,,,,,,26370.0,22886.0,,,40410.0,,,,1180366.0,151540.0,,,75188.0,,,,,,,,,62478.0,3576.0
20061228,,31982.0,,,,,,33750.0,12842.0,,,77102.0,,,,567742.0,262578.0,,,45682.0,,,,,,,,,38998.0,4306.0
20061229,,32032.0,,,,,,26842.0,10998.0,,,50842.0,,,,498910.0,206442.0,,,86202.0,,,,,,,,,32028.0,6112.0
20070104,,34012.0,,,,,,260.0,15588.0,,,146272.0,,,,876380.0,170794.0,,,140154.0,,,,,,,,,37538.0,4696.0
20070105,,39672.0,,,,,,54692.0,7974.0,,,153580.0,,,,770614.0,170696.0,,,170746.0,,,,,,,,,34640.0,15768.0
20070108,,36112.0,,,,,,51336.0,6012.0,,,216536.0,,,,590542.0,114416.0,,,117276.0,,,,,,,,,22700.0,38272.0
20070109,,31030.0,,,,,,54766.0,5140.0,,,119410.0,,,,836084.0,119000.0,,,106340.0,,,,,,,,,30134.0,81322.0
20070110,,30790.0,,,,,,66880.0,4032.0,,,88326.0,,,,686958.0,106556.0,,,64896.0,,,,,,,,,25822.0,315258.0
20070111,,22192.0,,,,,,82488.0,4016.0,,,101176.0,,,,989846.0,106148.0,,,100532.0,,,,,,,,,25286.0,378906.0
20070112,,18030.0,,,,,,70362.0,23760.0,,,80956.0,,,,727748.0,80660.0,,,116282.0,,,,,,,,,33778.0,340730.0
20070115,,15790.0,,,,,,86504.0,12236.0,,,67662.0,,,,683106.0,44618.0,,,136174.0,,,,,,,,,51540.0,359492.0
20070116,,18982.0,,,,,,69094.0,5164.0,,,111166.0,,,,1156026.0,256254.0,,,53206.0,,,,,,,,,35702.0,513516.0
20070117,,24356.0,,,,,,76046.0,4580.0,,,109856.0,,,,680482.0,253864.0,,,43902.0,,,,,,,,,16226.0,474446.0
20070118,,31146.0,,,,,,61606.0,2612.0,,,82656.0,,,,916344.0,296074.0,,,129806.0,,,,,,,,,16088.0,382638.0
20070119,,46434.0,,,,,,75896.0,7028.0,,,72822.0,,,,901868.0,287076.0,,,57754.0,,,,,,,,,18398.0,374136.0
20070122,,60500.0,,,,,,53754.0,4656.0,,,76420.0,,,,630008.0,161568.0,,,60864.0,,,,,,,,,18990.0,384012.0
20070123,,59258.0,,,,,,49078.0,4004.0,,,49648.0,,,,471058.0,161398.0,,,53726.0,,,,,,,,,10216.0,361378.0
20070124,,54764.0,,,,,,52374.0,2836.0,,,66720.0,,,,891966.0,223388.0,,,71264.0,,,,,,,,,24010.0,398590.0
20070125,,34288.0,,,,,,59436.0,1288.0,,,40058.0,,,,780358.0,238514.0,,,64138.0,,,,,,,,,19234.0,451510.0
20070126,,20720.0,,,,,,73348.0,3442.0,,,40604.0,,,,843792.0,176612.0,,,51688.0,,,,,,,,,65438.0,353712.0
20070129,,30214.0,,,,,,58666.0,2736.0,,,45956.0,,,,456172.0,111506.0,,,49826.0,,,,,,,,,60296.0,330302.0
20070130,,29624.0,,,,,,49826.0,2284.0,,,73140.0,,,,667398.0,144372.0,,,94250.0,,,,,,,,,50556.0,430786.0
20070131,,28588.0,,,,,,46642.0,3290.0,,,45880.0,,,,445022.0,159124.0,,,196640.0,,,,,,,,,41906.0,380232.0
20070201,,25678.0,,,,,,37136.0,3108.0,,,45512.0,,,,479056.0,155910.0,,,215222.0,,,,,,,,,42094.0,398398.0
20070202,,40384.0,,,,,,64136.0,2074.0,,,45140.0,,,,399090.0,215592.0,,,134298.0,,,,,,,,,43362.0,354900.0
20070205,,33256.0,,,,,,50694.0,2400.0,,,45202.0,,,,251642.0,193404.0,,,125392.0,,,,,,,,,36614.0,428356.0
20070206,,23772.0,,,,,,57234.0,2682.0,,,71460.0,,,,233562.0,207304.0,,,114864.0,,,,,,,,,45050.0,421350.0
20070207,,26354.0,,,,,,60606.0,2630.0,,,46700.0,,,,284296.0,207528.0,,,99482.0,,,,,,,,,39096.0,370368.0
20070208,,27676.0,,,,,,43862.0,2134.0,,,46658.0,,,,283088.0,220744.0,,,57412.0,,,,,,,,,29942.0,600728.0
20070209,,42568.0,,,,,,58472.0,1972.0,,,32404.0,,,,168050.0,258700.0,,,44260.0,,,,,,,,,16078.0,518602.0
20070212,,26526.0,,,,,,75316.0,1500.0,,,30020.0,,,,178236.0,160002.0,,,39662.0,,,,,,,,,29264.0,148974.0
20070213,,23384.0,,,,,,53508.0,2578.0,,,23218.0,,,,476568.0,166258.0,,,26770.0,,,,,,,,,29432.0,356522.0
20070214,,45670.0,,,,,,9124.0,2294.0,,,74898.0,,,,223038.0,118960.0,,,52484.0,,,,,,,,,12482.0,450428.0
20070215,,20394.0,,,,,,92222.0,2302.0,,,45390.0,,,,282170.0,136894.0,,,71918.0,,,,,,,,,17606.0,341776.0
20070216,,8254.0,,,,,,50888.0,3624.0,,,40880.0,,,,164066.0,167922.0,,,91022.0,,,,,,,,,6770.0,312992.0
20070226,,27280.0,,,,,,162.0,4570.0,,,92702.0,,,,839976.0,247208.0,,,80512.0,,,,,,,,,33016.0,241424.0
20070227,,14760.0,,,,,,85588.0,2634.0,,,76030.0,,,,389258.0,313096.0,,,82222.0,,,,,,,,,18042.0,304026.0
20070228,,12852.0,,,,,,87238.0,6332.0,,,63218.0,,,,674110.0,348464.0,,,194184.0,,,,,,,,,11462.0,151716.0
20070301,,15096.0,,,,,,69368.0,5118.0,,,37866.0,,,,534950.0,305412.0,,,138484.0,,,,,,,,,12690.0,487726.0
20070302,,20216.0,,,,,,63236.0,5224.0,,,41888.0,,,,322766.0,302154.0,,,105160.0,,,,,,,,,17890.0,439114.0
20070305,,14912.0,,,,,,78334.0,2870.0,,,58508.0,,,,303108.0,269804.0,,,115508.0,,,,,,,,,19070.0,365990.0
20070306,,8458.0,,,,,,72190.0,3032.0,,,69008.0,,,,203716.0,249574.0,,,89336.0,,,,,,,,,17114.0,354534.0
20070307,,9808.0,,,,,,72560.0,3520.0,,,42504.0,,,,260148.0,185656.0,,,89094.0,,,,,,,,,11602.0,386152.0
20070308,,9338.0,,,,,,76706.0,3166.0,,,33950.0,,,,418150.0,177110.0,,,112428.0,,,,,,,,,7502.0,448382.0
20070309,,9674.0,,,,,,108074.0,1884.0,,,32928.0,,,,634666.0,164172.0,,,173014.0,,,,,,,,,9710.0,398956.0
20070312,,17350.0,,,,,,70602.0,1908.0,,,24084.0,,,,370370.0,129168.0,,,127472.0,,,,,,,,,6768.0,343554.0
20070313,,10534.0,,,,,,76754.0,2952.0,,,30516.0,,,,529744.0,121046.0,,,133854.0,,,,,,,,,13694.0,364134.0
20070314,,9502.0,,,,,,81474.0,1456.0,,,43430.0,,,,375956.0,214782.0,,,103190.0,,,,,,,,,15606.0,364570.0
20070315,,7006.0,,,,,,73788.0,902.0,,,37576.0,,,,249006.0,159578.0,,,84650.0,,,,,,,,,10358.0,226562.0
20070316,,8730.0,,,,,,75938.0,1488.0,,,57386.0,,,,240148.0,255214.0,,,83550.0,,,,,,,,,9784.0,98896.0
20070319,,8790.0,,,,,,122490.0,4146.0,,,43492.0,,,,179332.0,167886.0,,,61912.0,,,,,,,,,7678.0,65756.0
20070320,,7246.0,,,,,,89844.0,1904.0,,,24560.0,,,,168952.0,131286.0,,,73726.0,,,,,,,,,19716.0,31876.0
20070321,,7860.0,,,,,,89774.0,1946.0,,,28566.0,,,,138584.0,182910.0,,,62806.0,,,,,,,,,30740.0,13796.0
20070322,,10592.0,,,,,,73710.0,2038.0,,,17598.0,,,,208640.0,138440.0,,,46036.0,,,,,,,,,19598.0,18308.0
20070323,,13460.0,,,,,,101600.0,1608.0,,,16474.0,,,,104498.0,98830.0,,,35400.0,,,,,,,,,13004.0,10302.0
20070326,,6508.0,,,,,,91728.0,3286.0,,,17238.0,,,,249970.0,135750.0,,,30928.0,21606.0,,,,,,,,35376.0,14568.0
20070327,,10646.0,,,,,,120256.0,2774.0,,,30094.0,,,,237796.0,119638.0,,,32402.0,17198.0,,,,,,,,16992.0,19684.0
20070328,,13022.0,,,,,,120462.0,2274.0,,,24872.0,,,,148566.0,65582.0,,,25542.0,9026.0,,,,,,,,39120.0,8634.0
20070329,,4706.0,,,,,,111138.0,1644.0,,,14742.0,,,,89816.0,78802.0,,,19844.0,9190.0,,,,,,,,60104.0,7682.0
20070330,,13198.0,,,,,,89914.0,1204.0,,,21642.0,,,,199284.0,186654.0,,,41670.0,14140.0,,,,,,,,52606.0,8198.0
20070402,,18066.0,,,,,,99012.0,2646.0,,,21544.0,,,,701728.0,216430.0,,,20988.0,6046.0,,,,,,,,41522.0,6612.0
20070403,,21996.0,,,,,,88124.0,3142.0,,,19070.0,,,,237874.0,226432.0,,,22932.0,12742.0,,,,,,,,93996.0,2906.0
20070404,,15368.0,,,,,,87832.0,2846.0,,,50334.0,,,,197162.0,154346.0,,,18450.0,9230.0,,,,,,,,127952.0,3632.0
20070405,,5160.0,,,,,,115678.0,2334.0,,,27374.0,,,,175514.0,137642.0,,,12738.0,19804.0,,,,,,,,95562.0,4204.0
20070406,,4614.0,,,,,,125814.0,2166.0,,,33936.0,,,,212698.0,100816.0,,,15804.0,62900.0,,,,,,,,72098.0,5912.0
20070409,,2806.0,,,,,,105376.0,3006.0,,,125988.0,,,,818784.0,148048.0,,,28172.0,34082.0,,,,,,,,72048.0,7012.0
20070410,,2220.0,,,,,,175172.0,2810.0,,,176532.0,,,,435998.0,135308.0,,,23776.0,132998.0,,,,,,,,52066.0,3532.0
20070411,,2358.0,,,,,,160554.0,3448.0,,,70898.0,,,,253040.0,115672.0,,,35264.0,118144.0,,,,,,,,69776.0,6688.0
20070412,,4420.0,,,,,,173908.0,2038.0,,,71866.0,,,,484974.0,300958.0,,,17974.0,114138.0,,,,,,,,111812.0,7862.0
20070413,,1786.0,,,,,,125578.0,1334.0,,,37706.0,,,,392658.0,298844.0,,,46264.0,59808.0,,,,,,,,121906.0,14834.0
20070416,,1134.0,,,,,,121724.0,2336.0,,,37000.0,,,,442128.0,244776.0,,,37216.0,59672.0,,,,,,,,119492.0,13520.0
20070417,,704.0,,,,,,134286.0,2070.0,,,46008.0,,,,350894.0,246418.0,,,36856.0,76410.0,,,,,,,,101902.0,9204.0
20070418,,556.0,,,,,,110104.0,2830.0,,,125808.0,,,,765900.0,360464.0,,,41438.0,25508.0,,,,,,,,124454.0,15112.0
20070419,,608.0,,,,,,178966.0,1678.0,,,104816.0,,,,423506.0,330408.0,,,35576.0,146222.0,,,,,,,,93938.0,12924.0
20070420,,206.0,,,,,,163126.0,2178.0,,,98126.0,,,,340086.0,187720.0,,,41130.0,129208.0,,,,,,,,83140.0,17914.0
20070423,,422.0,,,,,,156268.0,2732.0,,,76740.0,,,,263364.0,143680.0,,,80188.0,110814.0,,,,,,,,64604.0,26618.0
20070424,,240.0,,,,,,134792.0,2262.0,,,63540.0,,,,211890.0,141506.0,,,77634.0,102662.0,,,,,,,,67094.0,18622.0
20070425,,454.0,,,,,,115790.0,1450.0,,,57718.0,,,,215956.0,282992.0,,,81864.0,125850.0,,,,,,,,74284.0,19220.0
20070426,,168.0,,,,,,91838.0,2012.0,,,49636.0,,,,403336.0,308878.0,,,89570.0,67730.0,,,,,,,,66172.0,17616.0
20070427,,318.0,,,,,,87758.0,2248.0,,,62510.0,,,,255826.0,348728.0,,,88886.0,73880.0,,,,,,,,55252.0,22184.0
20070430,,558.0,,,,,,128028.0,2048.0,,,68312.0,,,,209124.0,174676.0,,,84112.0,50978.0,,,,,,,,31760.0,9124.0
20070508,,224.0,,,,,,668.0,3572.0,,,144492.0,,,,211402.0,146928.0,,,130772.0,658.0,,,,,,,,31022.0,24308.0
20070509,,148.0,,,,,,137720.0,3008.0,,,110918.0,,,,360868.0,234832.0,,,143044.0,100186.0,,,,,,,,46644.0,20410.0
20070510,,210.0,,,,,,128364.0,3264.0,,,100410.0,,,,253724.0,167078.0,,,197360.0,110314.0,,,,,,,,68150.0,35224.0
20070511,,2380.0,,,,,,107738.0,3326.0,,,73782.0,,,,280842.0,197914.0,,,201518.0,87832.0,,,,,,,,79162.0,50894.0
20070514,,940.0,,,,,,122632.0,3566.0,,,82360.0,,,,461810.0,185088.0,,,197388.0,72970.0,,,,,,,,80142.0,47462.0
