,date,ORC58,ORC62
0,20110909,,1332.23
1,20110916,,1308.49
2,20110923,,1326.5
3,20110930,,1310.47
4,20111007,,1310.21
5,20111014,,1328.31
6,20111021,,1280.39
7,20111028,,1246.71
8,20111104,,1030.99
9,20111111,,967.8
10,20111118,,955.0
11,20111125,,1014.76
12,20111202,,1006.58
13,20111209,,1025.81
14,20111216,,1013.27
15,20111223,,1008.64
16,20111230,,1004.99
17,20120106,,988.61
18,20120113,,1023.83
19,20120120,,1010.86
20,20120203,,1035.51
21,20120210,,1052.11
22,20120217,,1033.99
23,20120224,,1018.17
24,20120302,,1056.18
25,20120309,,1038.52
26,20120316,,1069.2
27,20120323,,1047.05
28,20120330,,1023.45
29,20120406,,1081.26
30,20120413,,1070.49
31,20120420,,1090.51
32,20120427,,1113.81
33,20120504,,1106.5
34,20120511,,1085.52
35,20120518,,1130.89
36,20120525,,1087.43
37,20120601,,1036.85
38,20120608,,989.7
39,20120615,,1006.82
40,20120622,,1027.8
41,20120629,,993.84
42,20120706,,1022.33
43,20120713,,1027.48
44,20120720,,1019.08
45,20120727,,990.73
46,20120803,,987.04
47,20120810,,902.75
48,20120817,,919.63
49,20120824,,864.29
50,20120831,,835.74
51,20120907,,811.04
52,20120914,,761.7
53,20120921,,754.36
54,20120928,,773.22
55,20121012,,804.82
56,20121019,,822.18
57,20121026,,842.46
58,20121102,,836.04
59,20121109,,868.42
60,20121116,,840.47
61,20121123,,873.77
62,20121130,,900.09
63,20121207,,849.52
64,20121214,,881.82
65,20121221,,908.67
66,20121228,,925.45
67,20130104,,913.91
68,20130111,,968.6
69,20130118,,1058.35
70,20130125,,1029.41
71,20130201,,1107.03
72,20130208,,1075.53
73,20130215,,1166.71
74,20130222,,1109.2
75,20130301,,1132.38
76,20130308,,1139.24
77,20130315,,1081.41
78,20130322,,1104.39
79,20130329,,1029.41
80,20130405,,1005.02
81,20130412,,1012.66
82,20130419,,1037.43
83,20130426,,1027.26
84,20130503,,1020.09
85,20130510,,1032.37
86,20130517,,1032.27
87,20130524,,984.72
88,20130531,,969.63
89,20130607,,922.53
90,20130614,,905.54
91,20130621,,897.4
92,20130628,,894.89
93,20130705,,886.98
94,20130712,,887.8
95,20130719,,872.47
96,20130726,,913.49
97,20130802,,838.98
98,20130809,,940.28
99,20130816,,946.09
100,20130823,,979.04
101,20130830,,978.38
102,20130906,,988.72
