,date,sal,scu,sru,zpm,dxa,dxm,zwh,zcf,sfu,dxc,dxb,zsr,dxy,zta,szn,zoi,dxl,dxp,srb,swr,zri,dxv,spb,dxj,zma,sag,zfg,zrm,zrs,djm,ztc,sbu,dxi,djd,zjr,dbb,dfb,dpp,shc,zlr,zsf,zsm,dcs,sni,ssn,fih,fic,fif,ftf,fxt
0,20050104,16000.8593,28921.8819,11997.5568,,2628.2992,2172.927,,12401.7441,1983.7211,1148.6919,2542.3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20050105,15798.5875,28306.6206,12024.9181,,2633.0984,2172.6515,,12478.2913,2007.4221,1153.723,2549.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20050106,15889.1467,28738.0325,12063.3493,,2642.0055,2186.24,,12688.8751,1990.678,1157.1592,2556.6571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20050107,15911.6868,28678.4143,11975.202,,2662.5538,2201.8571,,12657.4065,2003.7085,1160.9289,2578.8029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20050110,15857.7917,28368.7743,11988.3851,,2658.3102,2196.8654,,12667.1057,2015.4017,1158.1621,2577.0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20050111,15994.9172,28668.2323,11941.9901,,2668.1041,2202.846,,12656.3613,2005.0561,1158.6204,2590.5156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20050112,16009.131,29002.7416,12156.6757,,2681.8946,2194.1007,,12704.0693,2016.6498,1160.0183,2583.9805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20050113,16012.0587,28844.0847,12115.2277,,2670.2408,2189.1642,,12788.3986,2022.261,1158.4375,2578.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20050114,15995.1361,28790.0416,12108.3267,,2652.3441,2176.1828,,12799.0813,2027.3866,1159.619,2564.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20050117,16098.7918,29185.6068,11950.7927,,2639.119,2167.7098,,12786.767,2016.416,1159.658,2554.3834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20050118,16034.1406,29028.9181,11972.1069,,2593.3632,2149.7691,,12823.0185,2047.5507,1159.3976,2567.6151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20050119,16071.2206,29305.1445,12002.7406,,2592.0726,2150.3686,,12891.6256,2035.4821,1161.854,2564.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20050120,16083.9797,29253.682,12033.2881,,2579.4672,2140.3375,,12973.2936,2013.506,1159.6454,2550.4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20050121,16148.5763,29629.7136,12131.0527,,2575.8663,2138.5214,,12953.6345,2019.0058,1159.7438,2545.0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20050124,16341.8194,30123.1534,12108.4603,,2585.6388,2156.8529,,13043.535,2036.9191,1160.7777,2548.4873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20050125,16270.8328,30030.7626,12113.4077,,2574.7631,2140.6095,,13118.9831,2030.7329,1162.0032,2540.7562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20050126,16142.7086,29436.2218,12056.1491,,2580.7828,2148.647,,13099.7711,2033.1131,1161.5423,2544.9112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20050127,16204.3349,29947.6751,12115.9475,,2577.6167,2142.8639,,13124.06,2038.2972,1159.4212,2539.8309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20050128,16273.6426,29886.1332,12178.7832,,2552.417,2120.5741,,12948.3109,2034.0734,1158.2339,2521.3375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20050131,16242.6128,29727.537,12199.6779,,2529.5034,2094.1069,,13046.4523,2020.4538,1154.0485,2491.8619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20050201,16272.4334,29775.9936,12217.4974,,2538.4088,2101.9484,,13140.3537,2023.932,1152.3636,2495.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20050202,16285.6417,29648.9607,12374.3232,,2527.3468,2091.5491,,13119.1509,2026.7197,1150.1126,2483.6481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20050203,16185.7669,29066.1438,12473.8811,,2536.5381,2100.3369,,13181.7221,2026.8393,1153.7419,2488.0931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,20050204,16246.2275,29373.79,12554.5883,,2534.2535,2098.5394,,13197.8995,2039.381,1155.7193,2485.7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,20050216,16357.9513,29992.3986,12719.1224,,2585.952,2144.8716,,13392.2263,2051.2466,1159.6776,2527.0721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20050217,16357.4963,30165.8199,12620.5379,,2593.867,2159.1929,,13428.9521,2064.6174,1157.408,2532.5673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,20050218,16451.5221,30699.5674,12590.8939,,2611.1478,2188.9793,,13509.864,2067.6544,1156.2064,2544.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,20050221,16413.7797,30587.4463,12590.608,,2622.7579,2223.2637,,13418.5286,2075.5949,1158.0758,2555.9385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20050222,16445.238999999998,30865.9095,12812.2397,,2665.8073,2292.2311,,13558.3492,2085.5453,1166.7827,2590.6966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20050223,16450.111,30523.9865,12790.0888,,2671.3134,2308.0227,,13726.3761,2102.0907,1163.457,2607.3887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20050224,16545.0355,30931.8203,12984.5929,,2708.8795,2358.9865,,13744.852,2101.4687,1166.4946,2638.3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20050225,16414.1776,30465.3477,13047.731000000002,,2684.7423,2326.9582,,13726.3171,2134.7001,1163.8551,2628.4052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,20050228,16503.8001,31066.0681,13104.4624,,2797.5083,2422.7732,,13835.0609,2153.3589,1194.8258,2725.4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20050301,16464.356,30884.6466,13019.9776,,2798.5825,2467.8609,,13863.5296,2152.8966,1181.2939,2733.9248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20050302,16465.4291,30708.8461,13121.6897,,2860.5085,2559.71,,13894.0825,2161.7183,1188.3668,2783.3469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20050303,16440.504,30781.2349,13016.6698,,2873.0196,2566.1649,,13940.74,2223.2115,1183.1943,2801.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,20050304,16476.4595,30662.1984,12965.1908,,2854.9119,2554.5409,,14054.2969,2232.4243,1190.5178,2800.3593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,20050307,16532.4883,30878.2129,12917.7433,,2921.5663,2585.2077,,14164.8465,2235.9919,1196.7217,2839.3042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,20050308,16544.1404,30985.1708,12940.5143,,2865.3118,2521.1497,,14152.5101,2235.8186,1194.668,2791.9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,20050309,16946.0607,31279.1018,13074.5963,,2895.3585,2532.8465,,14302.0337,2300.786,1208.7111,2816.7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,20050310,17001.267,31291.8584,13065.5464,,2916.7523,2563.8451,,14283.0938,2310.9515,1236.3692,2840.4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,20050311,16902.8527,31127.5042,12947.0756,,2954.5748,2618.6791,,13877.613,2275.8537,1230.1069,2891.3993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,20050314,16802.1735,31207.027,13104.7701,,3036.3437,2719.981,,14215.4002,2332.4133,1244.751,2987.0986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,20050315,16785.6226,31258.3186,13470.352,,3131.0035,2798.3378,,14219.8139,2384.2103,1264.1239,3032.7409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20050316,17060.5476,31870.6007,13936.9951,,3204.8138,2883.9713,,14401.404,2389.4354,1299.7234,3087.9834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20050317,17043.1407,31933.8657,14058.9313,,3168.4531,2850.0846,,14310.2893,2465.3391,1279.41,3091.7925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,20050318,16772.1272,31547.012,13740.2714,,3074.5444,2753.9576,,13980.4869,2415.5011,1264.1827,2998.9534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,20050321,16858.0199,31878.547,13146.8373,,3086.0006,2711.0067,,14074.5923,2449.9126,1300.0818,2981.8988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,20050322,16828.8108,31795.2034,13034.2537,,3040.0868,2656.422,,13882.8119,2469.6411,1298.7135,2943.9901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,20050323,16731.8672,31566.9376,12898.1891,,2998.6189,2605.8152,,13857.754,2370.9477,1293.379,2928.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,20050324,16727.526,31396.7545,13034.2895,,3047.7125,2651.0391,,13821.1958,2381.1606,1310.5711,2972.8966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,20050325,16726.3432,31775.11,13019.5719,,3084.5054,2702.3331,,14245.7853,2411.1181,1310.0573,3012.5617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,20050328,16680.1604,31745.7872,12949.8841,,3091.3017,2678.0789,,14302.8191,2429.9342,1312.4903,3024.8394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,20050329,16686.4626,31811.9457,13295.8135,,3078.7117,2665.6407,,14343.0221,2420.8604,1312.714,3020.1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,20050330,16692.3231,31617.0711,13489.9589,,3040.1565,2615.8112,,14333.4492,2440.1828,1298.2846,2986.2688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,20050331,16705.4974,31862.9157,13287.8897,,3135.8121,2732.4132,,14323.6798,2468.3634,1305.4903,3058.9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
